EMM                                       abbr. 扩充内存管理程序（Expanded Memory Manager）；授权管理信息（Entitle Manage Message）；电磁测量（Electromagnetic Measurement）；电子仪器制造手册（Electronic Manufacturing Manual） n. (Emm)人名；(英)埃姆(女子教名Emma的昵称)
generosity           [,dʒɛnə'rɑsəti]      n. 慷慨，大方；宽宏大量
ASD                                       abbr. 蒽闪烁剂量计（Anthracene Scintillation Dosimeter）；自动同步鉴别器（Automatic Sychronized Discriminator）；空中情况指示器（Air Situation Display）
dsa                                       abbr. 目录系统代理（Directory System Agent）；驾驶安全预警系统（Driving Safety Alerting）
fabric               ['fæbrɪk]            n. 织物；布；组织；构造；建筑物
forlorn              [fɚ'lɔrn]            adj. 被遗弃的；绝望的；孤独的
dismay               [dɪs'me]             n. 沮丧，灰心；惊慌 vt. 使沮丧；使惊慌
amber                ['æmbɚ]              adj. 琥珀色的；琥珀制的 n. 琥珀；琥珀色 vt. 使呈琥珀色
content              ['kɑntɛnt]           n. 内容，目录；满足；容量 adj. 满意的 vt. 使满足 n. (Content)人名；(法)孔唐
ordeal               [ɔr'dil]             n. 折磨；严酷的考验；痛苦的经验
inkpot               ['ɪŋk,pɑt]           n. 墨水瓶
dribble              ['drɪbl]             vt. 连击；使滴下；运球 vi. 滴下；流口水 n. n. 点滴；运球
gratitude            ['ɡrætɪtud]          n. 感谢（的心情）；感激
effusive             [ɪ'fjusɪv]           adj. 流出的；感情横溢的
inquiry              [ɪn'kwaɪri; 'ɪn,kwaɪri; 'ɪnkwəri; 'ɪŋkwaɪri] n. 探究；调查；质询
boon                 [bʊn]                n. 恩惠；福利；利益 adj. 愉快的；慷慨的 n. (Boon)人名；(英)布恩；(东南亚国家华语)文；(瑞典、德)博恩；(泰)汶
grant                [ɡrænt]              vt. 授予；允许；承认 vi. 同意 n. 拨款；[法] 授予物 n. (Grant)人名；(瑞典、葡、西、俄、罗、英、塞、德、意)格兰特；(法)格朗
caravan              ['kærəvæn]           n. （可供居住的）拖车，大篷车；（穿过沙漠地带的）旅行队（如商队）；活动住宅；移民列车 vi. 乘拖车度假；参加旅行队旅行
cario                                     二维图形库
Cairo                ['kaiərəu]           n. 开罗（埃及首都）
willow               ['wɪlo]              n. [林] 柳树；[木] 柳木制品 adj. 柳木制的 n. (Willow)人名；(英)威洛，薇洛(女名)
sway                 [swe]                vt. 影响；统治；使摇动 vi. 影响；摇摆 n. 影响；摇摆；统治 n. (Sway)人名；(以)斯韦
prophet              ['prɑfɪt]            n. 先知；预言者；提倡者
departure            [dɪ'pɑrtʃɚ]          n. 离开；出发；违背
mosque               [mɑsk]               n. 清真寺
torment              ['tɔrmɛnt]           vt. 折磨，使痛苦；纠缠，作弄 n. 痛苦，苦恼；痛苦的根源
infernal             [ɪn'fɜːn(ə)l]        adj. 地狱的；恶魔的；可憎的
lamentation          [,læmən'teʃən]       n. 悲叹，哀悼；恸哭
innards              ['ɪnɚdz]             n. 内脏；内部结构
mullah                                    n. 毛拉（伊斯兰教神学家）
repentance           [rɪ'pɛntəns]         n. 悔改；后悔
atonement            [ə'tonmənt]          n. 赎罪；补偿，弥补
alm                  [ɑ:m]                n. 救济品；高山草甸 n. (Alm)人名；(英、芬、德、瑞典)阿尔姆
foolhardy            ['fulhɑrdi]          adj. 有勇无谋的；蛮干的
befit                [bɪ'fɪt]             vt. 适合于；为…该做的；对…适当
chronicle            ['krɑnɪkl]           n. 编年史，年代记；记录 vt. 记录；把…载入编年史
woe                  [wo]                 n. 悲哀，悲痛；灾难 int. 唉（表示痛苦，悲伤或悔恨） n. (Woe)人名；(德)韦
confer               [kən'fɝ]             vt. 授予；给予 vi. 协商 n. (Confer)人名；(英)康弗
gracious             ['ɡreʃəs]            adj. 亲切的；高尚的；和蔼的；雅致的 int. 天哪；哎呀
tapestry             ['tæpəstri]          n. 织锦；挂毯；绣帷 vt. 用挂毯装饰
curse                [kɝs]                n. 诅咒；咒骂 vt. 诅咒；咒骂 vi. 诅咒；咒骂
well                 [wɛl]                adv. 很好地；充分地；满意地；适当地 adj. 良好的；健康的；适宜的 n. 井；源泉 v. 涌出  n. (Well)人名；(英、德、荷)韦尔
expedition           [,ɛkspə'dɪʃən]       n. 远征；探险队；迅速
dysentery            ['dɪsəntɛri]         n. 痢疾
solicited            [ˌsə'lɪsɪtɪd]        adj. 请求的 v. 请求（solicit的过去分词）
struck               [strʌk]              adj. 受罢工影响的 v. 罢工，打击，撞击（strike的过去式和过去分词） n. (Struck)人名；(英)斯特拉克；(瑞典)斯特鲁克；(德)施特鲁克
subside              [səb'saɪd]           vi. 平息；减弱；沉淀；坐下
bandit               ['bændɪt]            n. 强盗，土匪；恶棍；敲诈者
rejoin               [,ri'dʒɔɪn]          vi. 答辩；回答；重新聚合 vt. 再加入；使…再结合；再回答
swollen              ['swolən]            adj. 肿胀的，浮肿的；浮夸的；激动兴奋的
dwindle              ['dwɪndl]            vi. 减少；变小 vt. 使缩小，使减少
tend                 [tɛnd]               vi. 趋向，倾向；照料，照顾 vt. 照料，照管
curfew               ['kɝfju]             n. 宵禁；宵禁令；晚钟；打晚钟时刻
chamberlain          ['tʃembɚlɪn]         n. 管家；宫廷大臣；（村镇的）掌管财物的人 n. (Chamberlain)人名；(英)张伯伦
coil                 [kɔɪl]               vt. 盘绕，把…卷成圈 n. 线圈；卷 vi. 成圈状 n. (Coil)人名；(英)科伊尔
relocate             [,ri'loket]          vt. 重新安置；迁移 vi. 重新安置；迁移新址 n. 浮动
reallocate           [,ri'æləket]         v. 重新分配；再指派
so that                                   以便；所以
argon                ['ɑrgɑn]             n. [化学] 氩（18号元素） n. (Argon)人名；(西、土、英)阿尔贡
engrave              [ɪn'ɡrev]            vt. 雕刻；铭记
corollary            ['kɔrəlɛri]          n. 推论；必然的结果
proposition          [,prɑpə'zɪʃən]       n. [数] 命题；提议；主题；议题 vt. 向…提议；向…求欢
limb                 [lɪm]                n. 肢，臂；分支；枝干 vt. 切断…的手足；从…上截下树枝 n. (Limb)人名；(朝)林；(英)利姆
replenishment        [rɪ'plɛnɪʃmənt]      n. 补充，补给
exceedingly          [ɪk'sidɪŋli]         adv. 非常；极其；极度地；极端
venue                ['vɛnju]             n. 审判地；犯罪地点；发生地点；集合地点
sustenance           ['sʌstənəns]         n. 食物；生计；支持
chore                [tʃɔr]               n. 家庭杂务；日常的零星事务；讨厌的或累人的工作
communal             [kəˈmjunəl]          adj. 公共的；公社的 n. (Communal)人名；(法)科米纳尔
courtesy             ['kɝtəsi]            n. 礼貌；好意；恩惠 adj. 殷勤的；被承认的；出于礼节的
linger               ['lɪŋɡɚ]             vi. 徘徊；苟延残喘；磨蹭 vt. 消磨；缓慢度过 n. (Linger)人名；(德、捷、瑞典)林格；(法)兰热
acquaintance         [ə'kwentəns]         n. 熟人；相识；了解；知道
interlocutor         [,ɪntɚ'lɑkjətɚ]      n. 对话者；谈话者
camaraderie          [,kɑmə'rɑdəri]       n. 友情；同志之爱
reservoir            ['rɛzɚ,vɔr]          n. 水库；蓄水池
chromium             ['kromɪəm]           n. [化学] 铬（24号元素，符号Cr）
prompt               [prɑmpt]             adj. 敏捷的，迅速的；立刻的 vt. 提示；促进；激起；（给演员）提白 n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格 adv. 准时地
enlightment                               n. 启蒙
a.k.a.                                    abbr. 亦称；又名（also known as）
misclassifying       [,mis'klæsifai]      v. 对……进行错误的分类
crier                ['kraɪɚ]             n. 哭泣者；传唤者；叫卖的小贩 n. (Crier)人名；(英)克赖耶
remark               [rɪ'mɑrk]            n. 注意；言辞 vt. 评论；觉察 vi. 谈论
ode                  [od]                 n. 赋；颂歌；颂诗
turret               [ˈtərɪt]             n. 炮塔；角楼；小塔；攻城用仰冲车
incongruity          [,ɪnkɑŋ'grʊəti]      n. 不协调；不一致；不适宜
warranted            ['wɔrənt]            adj. 保证的；担保的 v. 批准（warrant的过去分词）；授权
discrepancy          [dɪs'krɛpənsi]       n. 不符；矛盾；相差
albeit               [,ɔl'biɪt]           conj. 虽然；即使
horologist                                n. 钟表商；钟表研究者
discern              [dɪ'sɝn]             vt. 识别；领悟，认识 vi. 看清楚，辨别
intriguing           [ɪn'triɡɪŋ]          adj. 有趣的；迷人的 v. 引起…的兴趣；策划阴谋；私通（intrigue的ing形式）
anatomy              [ə'nætəmi]           n. 解剖；解剖学；剖析；骨骼
mishap               ['mɪshæp]            n. 灾祸；不幸事故；晦气
durable              ['dʊrəbl]            adj. 耐用的，持久的 n. 耐用品
rupture              ['rʌptʃɚ]            n. 破裂；决裂；疝气 vi. 破裂；发疝气 vt. 使破裂；断绝；发生疝
asunder              [ə'sʌndə]            adv. 化为碎片地；分离地 adj. 分成碎片的；分离的
titanium             [taɪ'tenɪəm; tɪ-]    n. [化学] 钛（金属元素）
casing               ['kesɪŋ]             n. 套；盒；（香肠的）肠衣；包装 v. 把…装入箱内（case的ing形式）
rod                  [rɑd]                n. 棒；惩罚；枝条；权力 n. (Rod)人名；(英、法、德、捷、希)罗德；(阿拉伯)鲁德；(老)罗
piston               ['pɪstən]            n. 活塞 n. (Piston)人名；(英、意)皮斯顿
arterial             [ɑr'tɪrɪəl]          adj. [解剖] 动脉的；干线的；像动脉的
hose                 [hoz]                n. 软管；长筒袜；男性穿的紧身裤 vt. 用软管浇水；痛打
actuating            ['æktʃʊ,et]          adj. 启动的 v. 开动（装置等）；驱使，激发（actuate 的现在分词）
protrude             [pro'trud]           vt. 使突出，使伸出 vi. 突出，伸出
physiology           ['fɪzɪ'ɑlədʒi]       n. 生理学；生理机能
breach               [britʃ]              n. 违背，违反；缺口 vt. 违反，破坏；打破
erupt                [ɪ'rʌpt]             vi. 爆发；喷出；发疹；长牙 vt. 爆发；喷出
shred                [ʃrɛd]               n. 碎片；少量剩余；最少量；破布 vt. 切成条状；用碎纸机撕毁 vi. 撕碎
filament             ['fɪləmənt]          n. 灯丝；细丝；细线；单纤维
foil                 [fɔɪl]               vt. 衬托；阻止，挡开；挫败；贴箔于 n. 箔，金属薄片；衬托，烘托；叶形片 abbr. 面向文件的翻译语言（file-Oriented interpretive language） n. (Foil)人名；(英)福伊尔
torn                 [tɔrn]               v. 扯裂，撕开（tear的过去分词） n. (Torn)人名；(英、俄、捷)托恩
blast                [blæst]              n. 爆炸；冲击波；一阵 vi. 猛攻 vt. 爆炸；损害；使枯萎 n. (Blast)人名；(德)布拉斯特
greenly              ['grinli]            adv. 绿色地；不熟练地
subscribe            [səb'skraɪb]         vi. 订阅；捐款；认购；赞成；签署 vt. 签署；赞成；捐助
inscribed            [ɪn'skraɪb]          adj. 内切的；记名的；有铭刻的 v. 题写；雕刻；内切（inscribe的过去分词）
inscription          [ɪn'skrɪpʃən]        n. 题词；铭文；刻印
advocate             [ˈædvəkeɪt；-et]      vt. 提倡，主张，拥护 n. 提倡者；支持者；律师
stylus               ['staɪləs]           n. 铁笔；唱针；尖笔；药笔剂
gratify              ['grætə'fai]         vt. 使满足；使满意，使高兴
knob                 [nɑb]                n. 把手；瘤；球形突出物 vi. 鼓起 vt. 使有球形突出物 n. (Knob)人名；(匈、捷)克诺布
scant                [skænt]              adj. 不足的；缺乏的；勉强够的 vt. 减少；节省；限制
seductive            [sɪ'dʌktɪv]          adj. 有魅力的；性感的；引人注意的
proponent            [prə'ponənt]         n. 支持者；建议者；提出认证遗嘱者
erasure              [ɪ'reʒɚ]             n. 消除；涂擦的痕迹；消磁
revived              [ri'vaivd]           adj. 复活的，再生的 v. 使复活，使恢复（revive的过去式）
trade-off            ['treidɔf,-ɔ:f]      n. 交换，交易；权衡；协定
agreement            [ə'grimənt]          n. 协议；同意，一致
exacerbate           [ɪɡ'zæsɚbet]         vt. 使加剧；使恶化；激怒
shrink               [ʃrɪŋk]              n. 收缩；畏缩；精神病学家 vt. 使缩小，使收缩 vi. 收缩；畏缩
shrunk               [ʃrʌŋk]              v. 收缩（shrink的过去分词）
brisket              ['brɪskɪt]           n. 胸部；胸肉
delay                [dɪ'le]              vi. 延期；耽搁 vt. 延期；耽搁 n. 延期；耽搁；被耽搁或推迟的时间 n. (Delay)人名；(英)迪莱；(法)德莱
Descartes            [dei'ka:t]           n. 笛卡尔（法国哲学家，数学家）
ponder               ['pɑndɚ]             vt. 仔细考虑；衡量 vi. 考虑；沉思 n. (Ponder)人名；(英)庞德
chromatic            [krə'mætɪk]          adj. 彩色的；色品的；易染色的
harmonica            [hɑr'mɑnɪkə]         n. 口琴（等于mouth organ）
